Batch,Condition,Timestamp_us,Deformability,Area,RingRatio,Brightness_Q1,Brightness_Q2,Brightness_Q3,Brightness_Q4
1,0603_hek_10uM_1h_1940_1,1748951292857203,0.1505,1112.5,23.6432,169,176,184,228
1,0603_hek_10uM_1h_1940_1,1748951292859596,0.0660173,620.5,19.3391,168,176,184,211
1,0603_hek_10uM_1h_1940_1,1748951292866811,0.140628,1035,23.7171,168,176,185,218
1,0603_hek_10uM_1h_1940_1,1748951292878811,0.0618899,816.5,22.2711,169,177,186,212
1,0603_hek_10uM_1h_1940_1,1748951292879601,0.0943524,781,21.272,167,175,183,211
1,0603_hek_10uM_1h_1940_1,1748951292885197,0.0169127,694.5,19.2614,168,174,180,191
1,0603_hek_10uM_1h_1940_1,1748951292895212,0.0904783,1022,23.7382,168,174,183,214
1,0603_hek_10uM_1h_1940_1,1748951292910494,0.0895828,1045.5,23.7065,168,174,185,211
1,0603_hek_10uM_1h_1940_1,1748951292912003,0.087219,714.5,21.0594,168,174,183,205
1,0603_hek_10uM_1h_1940_1,1748951292938474,0.085339,816.5,20.2731,169,176,185,205
1,0603_hek_10uM_1h_1940_1,1748951292957005,0.0538435,765.5,20.7846,168,175,183,209
1,0603_hek_10uM_1h_1940_1,1748951292961409,0.0364654,662.5,20.6519,168,176,186,207
1,0603_hek_10uM_1h_1940_1,1748951292962146,0.0614579,596.5,19.1572,166,172,181,204
1,0603_hek_10uM_1h_1940_1,1748951292976403,0.0599058,870,19.9625,168,174,182,207
1,0603_hek_10uM_1h_1940_1,1748951293034612,0.0823577,1017.5,23.2379,169,174,185,217
1,0603_hek_10uM_1h_1940_1,1748951293049608,0.0635517,686.5,20.0873,169,176,185,207
1,0603_hek_10uM_1h_1940_1,1748951293050891,0.0773895,670.5,20.4206,169,176,186,212
1,0603_hek_10uM_1h_1940_1,1748951293051200,0.0389952,638,19.7611,169,177,185,205
1,0603_hek_10uM_1h_1940_1,1748951293052634,0.0957304,973.5,21.8746,168,177,186,212
1,0603_hek_10uM_1h_1940_1,1748951293053399,0.0531646,823.5,21.1187,169,177,185,208
1,0603_hek_10uM_1h_1940_1,1748951293054824,0.0605227,350.5,16.7183,167,172,180,197
1,0603_hek_10uM_1h_1940_1,1748951293062821,0.0858112,260.5,15.1822,166,171,178,194
1,0603_hek_10uM_1h_1940_1,1748951293063195,0.0775526,288.5,15.0831,165,170,177,193
1,0603_hek_10uM_1h_1940_1,1748951293067819,0.105543,770,20.8686,168,177,187,214
1,0603_hek_10uM_1h_1940_1,1748951293070398,0.0952758,586,17.3205,166,171,178,194
1,0603_hek_10uM_1h_1940_1,1748951293074595,0.0358632,547.5,18.868,168,174,182,203
1,0603_hek_10uM_1h_1940_1,1748951293081606,0.0449556,889,18.4932,168,175,181,199
1,0603_hek_10uM_1h_1940_1,1748951293082009,0.0454571,670.5,20.5305,168,176,182,203
1,0603_hek_10uM_1h_1940_1,1748951293083997,0.071267,583.5,19.9499,169,176,185,207
1,0603_hek_10uM_1h_1940_1,1748951293084221,0.0932789,487.5,17.5784,166,171,177,189
1,0603_hek_10uM_1h_1940_1,1748951293086405,0.0727962,835.5,22.3607,169,177,186,207
1,0603_hek_10uM_1h_1940_1,1748951293096792,0.0555538,620,15.5563,168,174,183,202
1,0603_hek_10uM_1h_1940_1,1748951293097211,0.0383569,941.5,22.2711,168,176,185,208
1,0603_hek_10uM_1h_1940_1,1748951293100598,0.0394316,861,19.4936,168,174,185,206
1,0603_hek_10uM_1h_1940_1,1748951293103190,0.0794052,298,15.843,168,174,180,195
1,0603_hek_10uM_1h_1940_1,1748951293109603,0.0872445,779,23.3238,169,177,186,202
1,0603_hek_10uM_1h_1940_1,1748951293114997,0.0401488,511.5,19.6087,166,171,177,191
1,0603_hek_10uM_1h_1940_1,1748951293118798,0.0454611,948,19.3778,167,175,182,203
1,0603_hek_10uM_1h_1940_1,1748951293142612,0.0311745,1134,22.7596,169,177,185,210
1,0603_hek_10uM_1h_1940_1,1748951293148418,0.145848,1040.5,24.6982,169,178,186,211
1,0603_hek_10uM_1h_1940_1,1748951293149993,0.0251834,523.5,15.5885,169,176,183,195
1,0603_hek_10uM_1h_1940_1,1748951293155795,0.048367,665,20,169,177,186,208
1,0603_hek_10uM_1h_1940_1,1748951293156015,0.0519619,573,19.685,169,174,182,197
1,0603_hek_10uM_1h_1940_1,1748951293159601,0.0786658,868.5,22.7706,168,176,186,205
1,0603_hek_10uM_1h_1940_1,1748951293160597,0.0785013,800,21.4942,169,174,183,204
1,0603_hek_10uM_1h_1940_1,1748951293160994,0.0378021,580,18.1521,166,174,183,209
1,0603_hek_10uM_1h_1940_1,1748951293172608,0.100762,1159.5,21.225,166,174,184,215
1,0603_hek_10uM_1h_1940_1,1748951293177999,0.0779398,883.5,21.7945,169,176,185,205
1,0603_hek_10uM_1h_1940_1,1748951293189217,0.0340159,519.5,18.5068,169,177,186,205
1,0603_hek_10uM_1h_1940_1,1748951293199997,0.048044,719.5,16.1245,168,173,179,203
1,0603_hek_10uM_1h_1940_1,1748951293203801,0.0814174,623.5,20.0998,169,177,186,216
1,0603_hek_10uM_1h_1940_1,1748951293210621,0.0738054,733.5,20,166,174,182,210
1,0603_hek_10uM_1h_1940_1,1748951293211605,0.0588164,635,19.799,169,177,186,210
